A szerződés megnevezése ,A szerződő fél megnevezése,A szerződés értéke,A szerződés időtartam
Bérleti,"Szent Kereszt Plébánia 9012 Győr, Csanaki u. 1.",200000Ft/hó,2009. július 31-december 31.
A szerződés megnevezése ,A szerződő fél megnevezése,A szerződés értéke,A szerződés időtartam
Előfizetői,"EXTERNET NyRt. 5000 Szolnok, Szapáry u.18.","4.990,- Ft+Áfa/hó ",12 hó
A szerződés megnevezése ,A szerződő fél megnevezése,A szerződés értéke,A szerződés időtartam
Karbantar- tási,"Gulácsi és Fia Kft. 7635 Pécs, Jakabhegyi u.62.","45.000,- Ft+Áfa/félév",2010.12.31-ig
A szerződés megnevezése ,A szerződő fél megnevezése,A szerződés értéke,A szerződés időtartam
Megbízási,"D-Fence Bt. 9025 Győr, Újsor u.3. ",30.000 Ft+Áfa/hó,2010.01.01- 2010.12.31-ig
Bérleti,"Szent Kereszt Plébánia 9012 Győr, Csanaki u. 1.",200.000 Ft/hó 100.000 Ft/hó,2010.01.01-05.31. 2010.06.01-08.31
Építési,Magyar Aszfalt Kft. 9171 Győrújfalu,985941 Ft+Áfa,eseti
