"A szerződés megnevezése, típusa, tárgya",A szerződő fél megnevezése,A szerződés értéke,A szerződés időtartama
Szolgáltatási szerződés Szállítói      Étkeztetés,Ördögkonyha KFT.               ,450 Ft/fő/nap,2008.01.01.- 2008.06.30.-ig
Vállalkozási szerződés        Szállítói Energetikai feladatok,RED-WOLF BT.,114000 Ft/hó,2007.09.01.-              2008.08.31.-ig
Szolgáltatási szerződés Szállítói Postai küldeményforgalmi sz.,Magyar Posta ZRT.,50000 Ft/hó,2007.04.01.-     határozatlan
Szolgáltatási szerződés Szállítói Küldeményszállítás,Security Patent KFT.,484784 Ft/hó,2007.02.01.- határozatlan
Szolgáltatási szerződés Szállítói Vagyonvédelmi sz.,Security Patent KFT.,8040 Ft/hó,2007.02.07.- határozatlan
Szolgáltatási szerződés Szállítói Szervízszolgáltatás,STUDI-SOFT Bt.,162000 Ft/hó,2008.04.01.- 2009.03.31.-ig
Szolgáltatási szerződés Szállítói Takarítás,Rend-Mánia KFT.,84300 Ft/hó,2008.01.01.- 2008.12.31.-ig
Szolgáltatási szerződés Szállítói Programfelügyelet,KONTAKT PLUS KFT.,31200 Ft/n.év,2000.08.01.- határozatlan
Szolgáltatási szerződés Szállítói Tűoltókészülék ellenőrzése,SUGÁRCSŐ KFT.,4320 Ft/f.év,2007.10.26.- határozatlan
