"A szerződés megnevezése, típusa, tárgya",A szerződő fél megnevezése,A szerződés értéke,A szerződés időtartama
"Szolgáltatási szerződés Szállítói  Jegy, bérletértékesítési és nyilvántartási programbérlet, üzemeltetés",AFT-INFO Bt,600.000,1998.10.30-határozatlan
Megbízási szerződés Szállítói  Jogi tevékenység,Dr. Posta Attila,2.100.000,2007.04.02-határozatlan
Bérleti megállapodás Szállítói 2db fénymásoló bérlet,Ecoffice Technology Kft,588.000,"2005.01.03-2009.01.03,"
Szolgáltatási szerződés Szállítói Textil mosás,É-D. Regionális Mosoda Kft,500.000,2000.06.01-határozatlan
Szolgáltatói szerződés Szállítói  Tűzjelzés fogadás,Győr Megyei Jogú Város Tűzoltósága,108.000,2000.01-14-határozatlan
Vállalkozási keretszerződés Szállítói  Színpadgépészeti karbantartások,Mattor Domínium Kft,1.140.000,2006.05.22-határozatlan
Szállítási szerződés Szállítói  Szárazjég szállítási szerződés,Messer Hungarogáz Kft,120.000,2004.04.20-2014.04.20
"Karbantartási és javítási szerződés Szállítói Felvonók szervizelése, karbantartása",Pannon Elco Lift Bt,372.000,2000.06.01-határozatlan
Költségvetési szervek tanácsadó szolgálati szerződése Szállítói,Saldo Pénzügyi Tanácsadó és Informatikai ZRT,76.000,2000.03.31-határozatlan
Megbízási szerződés Szállítói  Portaszolgálat Karbantartási szerződés Szállítói Figyelőrendszer karbantartása Vállalkozási szerződés Szállítói 0-24 óráig folyamatos figyelés Vállalkozási szerződés Szállítói Pénzszállítás,Security Patent Kft,7.900.000 322.000 489.600 900.000,2001.04.01-határozatlan 2002.05.24-határozatlan 2004.01.01-határozatlan 2001.04.01-határozatlan
Vállalkozási szerződés Szállítói Csótányírtás,Sipák Lajos,230.000,2000.01.18- határozatlan
"Garanciaidőn túli átalánydíjas javítás és karbantartási szerződés Szállítói Telefonközpont karbantartás Színház, Műhelyház",Teltech KFT,363.000,2005.01.03-határozatlan
"Szolgáltatási szerződés Szállítói Tűzoltókészülékek, tűzcsap szekrények felülvizsgálat Megbízási szerződés Szállítói Munkabiztonsági és emelőgép ügyintézői díj Tűzvédelmi szolgáltatási szerződés Szállítói Tűzmegelőzési és védelmi ügyintézés",TŰZEX KFT,270.000 1.800.000 607.200,2006.04.20-határozatlan 2005.08.16-határozatlan 2000.10.01-határozatlan
