"A szerződés megnevezése, típusa, tárgya",A szerződő fél megnevezése,A szerződés bruttó értéke
Buszreklám,H + H Reklám és Kereskedelmi Szolgáltató Bt.,"640 000,- + Áfa"
Kék Duna rádió – Edda koncert népszerűsítése,Nautilus Kft.,"80 000,- + Áfa"
3 hónapon keresztül 2 db busz felületének biztosítása a városi programok népszerűsítése céljából,Kisalföld Volán Zrt.,"940 000,- + Áfa"
Városi programok népszerűsítése a Győri Est kiadványban,Est Lapok Kft.,"90 000,- + Áfa"
Győri Bornapok különszám megjelenítése és gyártása,Est Lapok Kft.,"1 112 950,- + Áfa"
Reklám elhelyezése a városi programok népszerűsítése céljából,Lapcom Kft.,"215 000,- + Áfa"
Reklám elhelyezése a Bornapok népszerűsítése céljból,Lapcom Kft.,"215 100,- + Áfa"
Kék Duna rádió – Mándoki koncert népszerűsítése,Nautilus Kft.,"80 000,- + Áfa"
Mándoki koncert népszerűsítése a Győri Est kiadványban,Est Lapok Kft.,"41 000,- + Áfa"
Városi program népszerűsítése a Revita televízióban,Revita Zrt.,"105 000,- + Áfa"
Reklámszolgáltatás a lokálpatrióta bálon,Kamé-Program Kft.,"83 334,- + Áfa"
Reklámszolgáltatás a médiabálon,Kamé-Program Kft.,"250 000,- + Áfa"
Összesen 2008. évben,"3 852 384,- + Áfa"
