"A szerződés megnevezése, típusa, tárgya",A szerződő fél megnevezése,A szerződés értéke,A szerződés időtartama
Áram szolgáltatás,E.ON ZRT,Fogyasztás alapján,1989.09.01.-
Néptánc oktatás,MÉRA Szolgáltató Bt,Elszámolás alapján,2006.09.01.- 2007.06.15. 2007.09.01.-
TV előfizetés,VIDANET ZRT,"325,-/hó",2005.01.14.-
"Távhő, melegvíz",GYŐRHŐ Hőszolgáltató Kft,Fogyasztás alapján,1989.10.03.-
Mobil szolgáltatás,PANNON GSM Távközlési Zrt,Fogyasztás alapján,2005.01.10.-
Biztonsági szolgáltatás,G4S Zrt.,"40.716,-/negyedév",1993.03.01.
Vezetékes telefon előfizetés,T-Systems,Fogyasztás alapján,1992.09.01.
Gáz szolgáltatás,ÉGÁZ-D-GÁZ Zrt.,Fogyasztás alapján,1993.01.01.
"Víz-, csatorna díj",PANNON-VÍZ Zrt.,Fogyasztás alapján,1997.01.23.-
Hulladék szállítás,Győri Kommunális Szolgáltató,"232.537,-/negyed év",1989.08.28.
Fénymásoló karbantartás,W-Copy 1999 Kft,"4.300,-/hó",2007.01.01.-
Étkeztetés,Kossuth Lajos Szakközépiskola,Megrendelés alapján,2006.09.01.-2007.06.30. 2007.09.01. 2007.0630.
Melegburkolat csere,PLEASANT Ker.Szolg. Kft,"90.417,-",2007.06.27.
Homlokzatfestés,Baráth Gábor,"84.331,-",2007.08.31.
"Óvodai festés, mázolás",Baráth Gábor,"1.196.021,-",2007.08.10.
"Iskolai festés, mázolás",Baráth Gábor,"256.390,-",2007.07.10.
Járólapozás,Écsi Richárd,"688.270,-",2007.07.16.
Gipszkarton fal készítés,RAABER-BAU Építő Kft.,"72.691,-",2007.07.10.
Laminált lapozás,Dóczy és Társa Bt,"438.857,-",2007.07.17.
Műpadlózás,Écsi Richárd,"188.600,-",2007.08.28.
Műszaki ellenőrzés,INSZOL Zrt.,"88.000,-",2007.06.20.- 2007.08.31.
Műszaki ellenőrzés,INSZOL Zrt.,"140.000,-",2007.06.20.- 2007.08.31.
Tanácsadás,SALDO Zrt.,"36.000,-/félév",2000.01.01.-
Homlokzat felújítás,Écsi Richárd,"180.250,-",2007.09.08.- 2007.09.17.
Udvari térburkolat javítás,Écsi Richárd,"110.000,-",2007.09.08.- 2007.09.17.
Csatorna lefolyók körüli térburkolat javítás,Écsi Richárd,"150.000,-",2007.09.08.- 2007.09.17.
Internet szolgáltatás,T-ONLINE,"13.900,-/hó",2005.04.20.-
Felvonó karbantartás,OTIS Felvonó Kft.,"2.850,-/hó",2004.01.01.
Felvonó felülvizsgálat,ÉMI-TÜV,"14.380,-/év",2007.01.01.- 2007.12.31.
Tűzoltó készülék ellenőrzése,Tűzkerék Kft,"23.790,-/félév",1989.10.4.-
Szalagfüggöny szerelés,ROLÓ Szabó Kft.,286.200,2007.07.13.
Óvodai labériázás,Dóczy és Tsa Bt,"1.015.520,-",2007.07.07.- 2007.09.06.
Mosószegély felrakás,Dóczy és Tsa Bt,"206.870,-",2007.08.01.- 2007.08.22.
Szalagfüggöny szerelés,ROLÓ Szabó Kft.,"166.950,-",2007.08.28.- 2007.09.11.
Italautomata helyiségbérlet,ITALAUTOMATA SZERVIZ BT,"11.000,-",2007.09.01.- 2008.06.30.
Reklám,REVITA TV Műsor- szolgáltató Rt,"44.000,-",2007.01.23.- 2007.02.06.
Terembérlet,SZILTOP Oktatási KHT,"349.149,- /hó",2006.09.01.- 2011.08.31.
Büfé bérlet,"Nyugatmagyarországi Kereskedelmi, Vendéglátó és Szolg.Zrt.","60.000,- /hó",2007.09.01.- 2008.06.15.
