"A szerződés megnevezése, típusa, tárgya",A szerződő fél megnevezése,A szerződés bruttó értéke
Rádió és televíziós reklám városi rendezvények népszerűsítésére,Oxygen Média Kft.,"810 000,- + Áfa"
Megjelenés az Ózon Magazinban,Oxygen Média Kft.,"50 000,- + Áfa"
Március 15-i programok népszerűsítése az Oxigén rádióban,Oxygen Média Kft.,"258 500,- + Áfa"
Megjelenés a Győri Estben a városi programok népszerűsítésére,Est Lapok Kft.,"246 000,- + Áfa"
Kék Duna rádió – városi program népszerűsítése,Nautilus Kft.,"180 000,- + Áfa"
Rádió 1 – városi program népszerűsítése,Rádió Győr Kft.,"132 000,- + Áfa"
Televíziós reklám a Revita televízióban – március 15-i programok népszerűsítése,Revita TV Zrt.,"292 000,- + Áfa"
Megjelenés az Ózon magazinban a városi programok népszerűsítése céljából,Oxygen Média Kft.,"50 000,- + Áfa"
Megjelenés az Ózon magazinban a városi programok népszerűsítése céljából,Oxygen Média Kft.,"50 000,- + Áfa"
Megjelenés az Ózon magazinban a városi programok népszerűsítése céljából,Oxygen Média Kft.,"50 000,- + Áfa"
Megjelenés az Ózon magazinban a városi programok népszerűsítése céljából,Oxygen Média Kft.,"50 000,- + Áfa"
Megjelenés az Ózon magazinban a városi programok népszerűsítése céljából,Oxygen Média Kft.,"50 000,- + Áfa"
Megjelenés az Ózon magazinban a városi programok népszerűsítése céljából,Oxygen Média Kft.,"50 000,- + Áfa"
Al Di Melola koncert népszerűsítése a Győri Est kiadványban,Est Lapok Kft.,"114 000,- + Áfa"
Városi rendezvények népszerűsítése televízióban és rádióban,Oxygen Média Kft.,"2 096 000,- + Áfa"
"Találkozzunk Győrben c. kiadvány megjelenítése, gyártása",Est Lapok Kft.,"1 942 200,- + Áfa"
Megjelenés a Győri Est kiadványban – Vaskakas Fesztivál népszerűsítése,Est Lapok Kft.,"114 000,- + Áfa"
Városi rendezvények népszerűsítése televízióban és rádióban,Oxygen Média Kft.,"1 000 000,- + Áfa"
Rádió 1 – nyárzáró koncert és borfesztivál népszerűsítése,Rádió Győr Kft.,"173 250 ,- + Áfa"
Bornapok reklámfilm televíziós népszerűsítése,Revita TV Zrt.,"250 000,- + Áfa"
"Győr és Polyák Lilla city light plakátok gyártása, kihelyezése",3D Médiavilág Kft.,"826 800,- + Áfa"
Megjelenés a Győri Est kiadványban – Négy Évszak Fesztivál nyári programok népszerűsítése,Est Lapok Kft.,"114 000,- + Áfa"
Városi programok televíziós népszerűsítése,Revita TV Zrt.,"120 000,- + Áfa"
WHO rádióreklám sugárzása,Oxygen Média Kft.,"40 000,- + Áfa"
Hirdetés megjelenítése,Lapcom Kft.,"33 600,- + Áfa"
Összesen 2010. évben,"9 092 235,- + Áfa"
