"A szerződés megnevezése, típusa, tárgya",A szerződő fél megnevezése,A szerződés bruttó értéke
Kisokos – Győr image megjelenés,Brecht Stone Kft.,"bruttó 88 900,-"
Rádió 1 – nyárnyitó koncert népszerűsítése,Rádió Győr Kft.,"bruttó 160 020,-"
Nyárzáró koncert népszerűsítése,Lapcom Kft.,"bruttó 423 418,-"
"Nyárzáró koncert, Borfesztivál népszerűsítése",Győr+ Média Zrt.,"bruttó 500 000,-"
Advent Győrben programsorozat népszerűsítése,Arrabona Médai Kft.,"bruttó 254 000,-"
Advent Győrben programsorozat népszerűsítése óriásplakátokon Győrben,Hirdetőiroda Kft.,"bruttó 400 050,-"
Kék Duna Rádió nyárnyitó koncert népszerűsítése,Nautilus Kft.,"bruttó 152 400,-"
"„ Miért megy mindenki Győrbe?” image óriásplakát kampány- felület biztosítása 1 hónapon keresztül, plakátok gyártása, kihelyezése, eltávolítása",Jedlik Communication Kft.,"bruttó 1 468 174,-"
"„ Szeretem Győrt” óriásplakát kampány - felület biztosítása 1 hónapon keresztül, plakátok gyártása, kihelyezése, eltávolítása",Hirdetőiroda Kft.,"bruttó 635 000,-"
Kisokos – Győr image megjelenés,Brecht-Stone Kft.,"bruttó 63 500,-"
Győri Bornapok különszám megjelenítése és gyártása,Est Lapok Kft.,"bruttó 1 931 530,-"
Kantharos Borárverés televíziós közvetítése,Oxygen Group Kft.,"bruttó 381 000,-"
Győr+ hetilapban melléklet megjelenítése a városi programokról,GYŐRSZOL Zrt.,"bruttó 400 000,-"
I. Győri Sörnapok szponzoráció,Sör Team Kft.,"bruttó 700 000,-"
Összesen 2012. évben,"bruttó 7 557 992,-"
