"A szerződés megnevezése, típusa, tárgya",A szerződő fél megnevezése,A szerződés bruttó értéke,A szerződés időtartama
Megrendelő „ Győr Város Sajtódíja”,HEFTER Üveggaléria Bt.,"177.546,- Ft",2013. március 4.
Megrendelő papírtáska rendelés Kantharosz Gálára,Welt Promotion Kft.,"190.000,- Ft",2013. március 4.
Szerződés Gasztrotúra műsor készítése,Parabel FilmStudio Kft.,"1.580.000,- Ft + Áfa",2013. március 5.
Szerződés éves turisztikai kiadványok gyártása,Top Production Kft.,"6.451.400,- Ft.+ Áfa",2013. március 6.
Szerződés Kreatív Mérnöki Kiállítás támogatása,Mobilis Közhasznú Nonprofit Kft.,"145.000,- Ft + Áfa",2013. március 6.
Szerződés Kantharosz Gála támogatása,Győr+ Média Zrt.,"250.000,- Ft + Áfa",2013. március 7.
Megrendelő Kiállítási eszköz kivitelezése,IDMC Kft.,"155.000,- Ft",2013. március 7.
Megrendelő Győr város pálinkája rendelés,BorPont Kft.,"592.379,- Ft",2013. március 14.
Megrendelő megjelenés a „Kalandjárat” és Az útitárs c. műsorban,Kandász Média Produkció,"1.550.000,- Ft, + Áfa",2013. március 21.
