"A szerződés megnevezése, Típusa, tárgya",A szerződő fél megnevezése,A szerződés várható nettó értéke,A szerződés időtartama
Vállalkozási szerződés Szállítói Színház csillárszinten törött üveg csere ,Síküveg Kft,"680.000,-",2012.02.17.-2012.04.30.
"Szállítási szerződés Szállítói 34m3 borofi fenyő, 40m3 fenyőpalló, 7m3 keményfa (bükk) vásárlás",JAFHOLZ UNGARN KFT,"6.835.000,-",2012.03.19.-2012.04.18.
Megbízási szerződés Szállítói Színpadfelújításra irányuló közbeszerzési eljárás teljes körű lefolytatása,Dr. Szabóné dr. Pimpedli Tímea,"Bruttó 300.000,- számfejtve",2012.03.26 -befejezésig
Megbízási szerződés Szállítói Vagyonvédelmi szolg. feladatainak ellátására irányuló közbeszerzési eljárás teljes körű lefolytatása,Dr. Szabóné dr. Pimpedli Tímea,"Bruttó 300.000,- számfejtve",2012.03.08 -befejezésig
"Előfizetői szerződés Szállítói Törvénytár, szolgáltatás ",OPTEN Informatikai Kft,"63.000,-",2012.03.28-2013.03.27.
Szerződés Szállítói Jekyll és Hyde eszközbérlet hangszínek felprogramozása,TLS Zeneház Kulturális Szolgáltató Bt,"170.000,-",2012.03.21-2012.05.02.
"Szerződés Szállítói Jekyll és Hyde hangzás tervezés, hangrendszer összeállítása, installálása, FOH-keverése, színház munkatársainak felkészítése a létrehozott hangzás továbbvitelére",TLS Zeneház Kulturális Szolgálktató Bt,"500.000,-",2012.06.10-2012.06.15.
"Szerződés Szállítói Jekyll és Hyde hangzás ellenőrzése, korrigálása, minőségi hangzás biztosítása",TLS Zeneház Kulturális Szolgálktató Bt,"50.000,- előadásonként",2012.10.20 -színentartásig
Megbízási szerződés Szállítói Felvidéki magyarlakta területek elérésére irányuló kommunikációs stratégia kidolgozása 2012-2013-as évad bérletértékesítésének elősegítése érdekében,Tuego Szolgáltató és Kereskedelmi Kft,"250.000,-",2012.02.28-2012.03.20..
Szolgáltatási keret-megállapodás Szállítói OTP Széchenyi Pihenőkártya alszámláin adható béren kívüli juttatások rendelkezésre bocsátása ,OTP Pénztárszolgáltató ZRT,55/2011 (IV.12.) Korm. rendeletben meghatározott szolgáltatási díj juttatás szerint  ,2012.03.07-határozatlan
"Szerződés Szabadidős Szolgáltatásokhoz Szállítói MKB Széchenyi Pihenőkártya elfogadása , ellenértékének kiegyenlítése",MKB Nyugdíjpénztárt és Egészségpénztárt kiszolgáló Kft,55/2011 (IV.12.) Korm. rendeletben meghatározott szolgáltatási díj  forgalom függvényében  ,2012.02.28- határozatlan
"OTP „SZÉCHENYI PIHENŐKÁRTYA E-utalvány elfogadói szerződés Szállítói OTP Széchenyi Pihenőkártya elfogadása , ellenértékének kiegyenlítése",OTP Pénztárszolgáltató ZRT,55/2011 (IV.12.) Korm. rendeletben meghatározott szolgáltatási díj forgalom függvényében ,2012.03.21-határozatlan
Szerződés Szállítói L’ art pour l’ art Társulat „A három testőr és a jeti vagy mi a pék” című előadása,A-Drink BT,"650.000,-",2012.04.30.
